row	json_tc_id	json_req_id	F_0907	D_0907	n_diff_vs_json	diff_cols_vs_json	diff_noncorpus_cols_vs_rowsort
10	NR1L-ComfortHMI-435	SWE1-HVAC-001-01	NR1L-ComfortHMI-001	SWE1-HVAC-001-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
11	NR1L-ComfortHMI-436	SWE1-HVAC-001-01	NR1L-ComfortHMI-002	SWE1-HVAC-001-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
12	NR1L-ComfortHMI-437	SWE1-HVAC-001-01	NR1L-ComfortHMI-003	SWE1-HVAC-001-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
13	NR1L-ComfortHMI-438	SWE1-HVAC-001-02	NR1L-ComfortHMI-004	SWE1-HVAC-001-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
14	NR1L-ComfortHMI-042	SWE1-HVAC-001-03	NR1L-ComfortHMI-005	SWE1-HVAC-001-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
15	NR1L-ComfortHMI-032	SWE1-HVAC-002-01	NR1L-ComfortHMI-006	SWE1-HVAC-002-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
16	NR1L-ComfortHMI-033	SWE1-HVAC-002-02	NR1L-ComfortHMI-007	SWE1-HVAC-002-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
17	NR1L-ComfortHMI-034	SWE1-HVAC-002-03	NR1L-ComfortHMI-008	SWE1-HVAC-002-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
18	NR1L-ComfortHMI-035	SWE1-HVAC-002-04	NR1L-ComfortHMI-009	SWE1-HVAC-002-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
19	NR1L-ComfortHMI-036	SWE1-HVAC-002-05	NR1L-ComfortHMI-010	SWE1-HVAC-002-05	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
20	NR1L-ComfortHMI-037	SWE1-HVAC-002-05	NR1L-ComfortHMI-011	SWE1-HVAC-002-05	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
21	NR1L-ComfortHMI-038	SWE1-HVAC-002-06	NR1L-ComfortHMI-012	SWE1-HVAC-002-06	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
22	NR1L-ComfortHMI-039	SWE1-HVAC-002-07	NR1L-ComfortHMI-013	SWE1-HVAC-002-07	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
23	NR1L-ComfortHMI-040	SWE1-HVAC-002-08	NR1L-ComfortHMI-014	SWE1-HVAC-002-08	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
24	NR1L-ComfortHMI-127	SWE1-HVAC-003-01	NR1L-ComfortHMI-015	SWE1-HVAC-003-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
25	NR1L-ComfortHMI-128	SWE1-HVAC-003-02	NR1L-ComfortHMI-016	SWE1-HVAC-003-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
26	NR1L-ComfortHMI-129	SWE1-HVAC-003-03	NR1L-ComfortHMI-017	SWE1-HVAC-003-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
27	NR1L-ComfortHMI-130	SWE1-HVAC-003-04	NR1L-ComfortHMI-018	SWE1-HVAC-003-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
28	NR1L-ComfortHMI-131	SWE1-HVAC-003-05	NR1L-ComfortHMI-019	SWE1-HVAC-003-05	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
29	NR1L-ComfortHMI-132	SWE1-HVAC-003-06	NR1L-ComfortHMI-020	SWE1-HVAC-003-06	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
30	NR1L-ComfortHMI-386	SWE1-HVAC-003-06	NR1L-ComfortHMI-021	SWE1-HVAC-003-06	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
31	NR1L-ComfortHMI-387	SWE1-HVAC-003-06	NR1L-ComfortHMI-022	SWE1-HVAC-003-06	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
32	NR1L-ComfortHMI-133	SWE1-HVAC-003-07	NR1L-ComfortHMI-023	SWE1-HVAC-003-07	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
33	NR1L-ComfortHMI-134	SWE1-HVAC-003-08	NR1L-ComfortHMI-024	SWE1-HVAC-003-08	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
34	NR1L-ComfortHMI-135	SWE1-HVAC-003-09	NR1L-ComfortHMI-025	SWE1-HVAC-003-09	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
35	NR1L-ComfortHMI-363	SWE1-HVAC-004-01	NR1L-ComfortHMI-026	SWE1-HVAC-004-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
36	NR1L-ComfortHMI-364	SWE1-HVAC-004-02	NR1L-ComfortHMI-027	SWE1-HVAC-004-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
37	NR1L-ComfortHMI-136	SWE1-HVAC-005-01	NR1L-ComfortHMI-028	SWE1-HVAC-005-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
38	NR1L-ComfortHMI-137	SWE1-HVAC-005-02	NR1L-ComfortHMI-029	SWE1-HVAC-005-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
39	NR1L-ComfortHMI-138	SWE1-HVAC-005-03	NR1L-ComfortHMI-030	SWE1-HVAC-005-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
40	NR1L-ComfortHMI-139	SWE1-HVAC-005-04	NR1L-ComfortHMI-031	SWE1-HVAC-005-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
41	NR1L-ComfortHMI-140	SWE1-HVAC-006-01	NR1L-ComfortHMI-032	SWE1-HVAC-006-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
42	NR1L-ComfortHMI-141	SWE1-HVAC-006-02	NR1L-ComfortHMI-033	SWE1-HVAC-006-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
43	NR1L-ComfortHMI-142	SWE1-HVAC-006-03	NR1L-ComfortHMI-034	SWE1-HVAC-006-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
44	NR1L-ComfortHMI-439	SWE1-HVAC-006-04	NR1L-ComfortHMI-035	SWE1-HVAC-006-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
45	NR1L-ComfortHMI-365	SWE1-HVAC-007-01	NR1L-ComfortHMI-036	SWE1-HVAC-007-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
46	NR1L-ComfortHMI-388	SWE1-HVAC-007-01	NR1L-ComfortHMI-037	SWE1-HVAC-007-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
47	NR1L-ComfortHMI-366	SWE1-HVAC-007-02	NR1L-ComfortHMI-038	SWE1-HVAC-007-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
48	NR1L-ComfortHMI-048	SWE1-HVAC-008-01	NR1L-ComfortHMI-039	SWE1-HVAC-008-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
49	NR1L-ComfortHMI-049	SWE1-HVAC-008-02	NR1L-ComfortHMI-040	SWE1-HVAC-008-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
50	NR1L-ComfortHMI-389	SWE1-HVAC-008-02	NR1L-ComfortHMI-041	SWE1-HVAC-008-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
51	NR1L-ComfortHMI-050	SWE1-HVAC-008-03	NR1L-ComfortHMI-042	SWE1-HVAC-008-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
52	NR1L-ComfortHMI-051	SWE1-HVAC-008-04	NR1L-ComfortHMI-043	SWE1-HVAC-008-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
53	NR1L-ComfortHMI-052	SWE1-HVAC-008-05	NR1L-ComfortHMI-044	SWE1-HVAC-008-05	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
54	NR1L-ComfortHMI-053	SWE1-HVAC-009-01	NR1L-ComfortHMI-045	SWE1-HVAC-009-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
55	NR1L-ComfortHMI-054	SWE1-HVAC-009-02	NR1L-ComfortHMI-046	SWE1-HVAC-009-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
56	NR1L-ComfortHMI-055	SWE1-HVAC-009-03	NR1L-ComfortHMI-047	SWE1-HVAC-009-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
57	NR1L-ComfortHMI-390	SWE1-HVAC-009-03	NR1L-ComfortHMI-048	SWE1-HVAC-009-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
58	NR1L-ComfortHMI-056	SWE1-HVAC-009-04	NR1L-ComfortHMI-049	SWE1-HVAC-009-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
59	NR1L-ComfortHMI-057	SWE1-HVAC-009-05	NR1L-ComfortHMI-050	SWE1-HVAC-009-05	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
60	NR1L-ComfortHMI-391	SWE1-HVAC-009-05	NR1L-ComfortHMI-051	SWE1-HVAC-009-05	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
61	NR1L-ComfortHMI-058	SWE1-HVAC-009-06	NR1L-ComfortHMI-052	SWE1-HVAC-009-06	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
62	NR1L-ComfortHMI-392	SWE1-HVAC-009-06	NR1L-ComfortHMI-053	SWE1-HVAC-009-06	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
63	NR1L-ComfortHMI-059	SWE1-HVAC-010-01	NR1L-ComfortHMI-054	SWE1-HVAC-010-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
64	NR1L-ComfortHMI-060	SWE1-HVAC-010-02	NR1L-ComfortHMI-055	SWE1-HVAC-010-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
65	NR1L-ComfortHMI-061	SWE1-HVAC-010-03	NR1L-ComfortHMI-056	SWE1-HVAC-010-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
66	NR1L-ComfortHMI-393	SWE1-HVAC-010-03	NR1L-ComfortHMI-057	SWE1-HVAC-010-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
67	NR1L-ComfortHMI-394	SWE1-HVAC-010-03	NR1L-ComfortHMI-058	SWE1-HVAC-010-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
68	NR1L-ComfortHMI-062	SWE1-HVAC-010-04	NR1L-ComfortHMI-059	SWE1-HVAC-010-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
69	NR1L-ComfortHMI-395	SWE1-HVAC-010-04	NR1L-ComfortHMI-060	SWE1-HVAC-010-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
70	NR1L-ComfortHMI-063	SWE1-HVAC-010-05	NR1L-ComfortHMI-061	SWE1-HVAC-010-05	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
71	NR1L-ComfortHMI-066	SWE1-HVAC-011	NR1L-ComfortHMI-062	SWE1-HVAC-011	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
72	NR1L-ComfortHMI-153	SWE1-HVAC-012-01	NR1L-ComfortHMI-063	SWE1-HVAC-012-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
73	NR1L-ComfortHMI-154	SWE1-HVAC-012-02	NR1L-ComfortHMI-064	SWE1-HVAC-012-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
74	NR1L-ComfortHMI-155	SWE1-HVAC-012-03	NR1L-ComfortHMI-065	SWE1-HVAC-012-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
75	NR1L-ComfortHMI-156	SWE1-HVAC-012-04	NR1L-ComfortHMI-066	SWE1-HVAC-012-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
76	NR1L-ComfortHMI-157	SWE1-HVAC-012-05	NR1L-ComfortHMI-067	SWE1-HVAC-012-05	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
77	NR1L-ComfortHMI-396	SWE1-HVAC-012-05	NR1L-ComfortHMI-068	SWE1-HVAC-012-05	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
78	NR1L-ComfortHMI-158	SWE1-HVAC-012-06	NR1L-ComfortHMI-069	SWE1-HVAC-012-06	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
79	NR1L-ComfortHMI-159	SWE1-HVAC-013-01	NR1L-ComfortHMI-070	SWE1-HVAC-013-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
80	NR1L-ComfortHMI-160	SWE1-HVAC-013-02	NR1L-ComfortHMI-071	SWE1-HVAC-013-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
81	NR1L-ComfortHMI-161	SWE1-HVAC-013-03	NR1L-ComfortHMI-072	SWE1-HVAC-013-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
82	NR1L-ComfortHMI-162	SWE1-HVAC-013-04	NR1L-ComfortHMI-073	SWE1-HVAC-013-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
83	NR1L-ComfortHMI-143	SWE1-HVAC-014-01	NR1L-ComfortHMI-074	SWE1-HVAC-014-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
84	NR1L-ComfortHMI-144	SWE1-HVAC-014-02	NR1L-ComfortHMI-075	SWE1-HVAC-014-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
85	NR1L-ComfortHMI-145	SWE1-HVAC-014-03	NR1L-ComfortHMI-076	SWE1-HVAC-014-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
86	NR1L-ComfortHMI-146	SWE1-HVAC-014-04	NR1L-ComfortHMI-077	SWE1-HVAC-014-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
87	NR1L-ComfortHMI-147	SWE1-HVAC-014-05	NR1L-ComfortHMI-078	SWE1-HVAC-014-05	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
88	NR1L-ComfortHMI-148	SWE1-HVAC-014-06	NR1L-ComfortHMI-079	SWE1-HVAC-014-06	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
89	NR1L-ComfortHMI-149	SWE1-HVAC-015-01	NR1L-ComfortHMI-080	SWE1-HVAC-015-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
90	NR1L-ComfortHMI-150	SWE1-HVAC-015-02	NR1L-ComfortHMI-081	SWE1-HVAC-015-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
91	NR1L-ComfortHMI-151	SWE1-HVAC-015-03	NR1L-ComfortHMI-082	SWE1-HVAC-015-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
92	NR1L-ComfortHMI-430	SWE1-HVAC-015-04	NR1L-ComfortHMI-083	SWE1-HVAC-015-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
93	NR1L-ComfortHMI-431	SWE1-HVAC-015-05	NR1L-ComfortHMI-084	SWE1-HVAC-015-05	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
94	NR1L-ComfortHMI-440	SWE1-HVAC-016-01	NR1L-ComfortHMI-085	SWE1-HVAC-016-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
95	NR1L-ComfortHMI-441	SWE1-HVAC-016-01	NR1L-ComfortHMI-086	SWE1-HVAC-016-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
96	NR1L-ComfortHMI-442	SWE1-HVAC-016-01	NR1L-ComfortHMI-087	SWE1-HVAC-016-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
97	NR1L-ComfortHMI-443	SWE1-HVAC-016-01	NR1L-ComfortHMI-088	SWE1-HVAC-016-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
98	NR1L-ComfortHMI-444	SWE1-HVAC-016-02	NR1L-ComfortHMI-089	SWE1-HVAC-016-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
99	NR1L-ComfortHMI-445	SWE1-HVAC-016-03	NR1L-ComfortHMI-090	SWE1-HVAC-016-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
100	NR1L-ComfortHMI-163	SWE1-HVAC-017-01	NR1L-ComfortHMI-091	SWE1-HVAC-017-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
101	NR1L-ComfortHMI-164	SWE1-HVAC-017-02	NR1L-ComfortHMI-092	SWE1-HVAC-017-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
102	NR1L-ComfortHMI-446	SWE1-HVAC-018-01	NR1L-ComfortHMI-093	SWE1-HVAC-018-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
103	NR1L-ComfortHMI-447	SWE1-HVAC-018-01	NR1L-ComfortHMI-094	SWE1-HVAC-018-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
104	NR1L-ComfortHMI-448	SWE1-HVAC-018-01	NR1L-ComfortHMI-095	SWE1-HVAC-018-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
105	NR1L-ComfortHMI-449	SWE1-HVAC-018-01	NR1L-ComfortHMI-096	SWE1-HVAC-018-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
106	NR1L-ComfortHMI-450	SWE1-HVAC-018-01	NR1L-ComfortHMI-097	SWE1-HVAC-018-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
107	NR1L-ComfortHMI-451	SWE1-HVAC-018-02	NR1L-ComfortHMI-098	SWE1-HVAC-018-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
108	NR1L-ComfortHMI-452	SWE1-HVAC-018-03	NR1L-ComfortHMI-099	SWE1-HVAC-018-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
109	NR1L-ComfortHMI-453	SWE1-HVAC-018-04	NR1L-ComfortHMI-100	SWE1-HVAC-018-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
110	NR1L-ComfortHMI-454	SWE1-HVAC-018-04	NR1L-ComfortHMI-101	SWE1-HVAC-018-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
111	NR1L-ComfortHMI-455	SWE1-HVAC-018-04	NR1L-ComfortHMI-102	SWE1-HVAC-018-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
112	NR1L-ComfortHMI-456	SWE1-HVAC-018-05	NR1L-ComfortHMI-103	SWE1-HVAC-018-05	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
113	NR1L-ComfortHMI-457	SWE1-HVAC-018-06	NR1L-ComfortHMI-104	SWE1-HVAC-018-06	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
114	NR1L-ComfortHMI-152	SWE1-HVAC-019-01	NR1L-ComfortHMI-105	SWE1-HVAC-019-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
115	NR1L-ComfortHMI-458	SWE1-HVAC-019-02	NR1L-ComfortHMI-106	SWE1-HVAC-019-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
116		SWE1-HVAC-019-03		SWE1-HVAC-019-03	1	G	C,O,T,U,V,W,X,Y,Z,AA
117	NR1L-ComfortHMI-043	SWE1-HVAC-020-01	NR1L-ComfortHMI-107	SWE1-HVAC-020-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
118	NR1L-ComfortHMI-044	SWE1-HVAC-020-02	NR1L-ComfortHMI-108	SWE1-HVAC-020-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
119	NR1L-ComfortHMI-045	SWE1-HVAC-020-03	NR1L-ComfortHMI-109	SWE1-HVAC-020-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
120	NR1L-ComfortHMI-046	SWE1-HVAC-020-04	NR1L-ComfortHMI-110	SWE1-HVAC-020-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
121	NR1L-ComfortHMI-047	SWE1-HVAC-020-04	NR1L-ComfortHMI-111	SWE1-HVAC-020-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
122	NR1L-ComfortHMI-165	SWE1-HVAC-021-01	NR1L-ComfortHMI-112	SWE1-HVAC-021-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
123	NR1L-ComfortHMI-166	SWE1-HVAC-021-02	NR1L-ComfortHMI-113	SWE1-HVAC-021-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
124	NR1L-ComfortHMI-064	SWE1-HVAC-022-01	NR1L-ComfortHMI-114	SWE1-HVAC-022-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
125	NR1L-ComfortHMI-065	SWE1-HVAC-022-02	NR1L-ComfortHMI-115	SWE1-HVAC-022-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
126	NR1L-ComfortHMI-015	SWE1-HVAC-023-01	NR1L-ComfortHMI-116	SWE1-HVAC-023-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
127	NR1L-ComfortHMI-397	SWE1-HVAC-023-01	NR1L-ComfortHMI-117	SWE1-HVAC-023-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
128	NR1L-ComfortHMI-398	SWE1-HVAC-023-01	NR1L-ComfortHMI-118	SWE1-HVAC-023-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
129	NR1L-ComfortHMI-016	SWE1-HVAC-023-02	NR1L-ComfortHMI-119	SWE1-HVAC-023-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
130	NR1L-ComfortHMI-017	SWE1-HVAC-023-03	NR1L-ComfortHMI-120	SWE1-HVAC-023-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
131	NR1L-ComfortHMI-399	SWE1-HVAC-023-03	NR1L-ComfortHMI-121	SWE1-HVAC-023-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
132	NR1L-ComfortHMI-018	SWE1-HVAC-024-01	NR1L-ComfortHMI-122	SWE1-HVAC-024-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
133	NR1L-ComfortHMI-019	SWE1-HVAC-024-02	NR1L-ComfortHMI-123	SWE1-HVAC-024-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
134	NR1L-ComfortHMI-020	SWE1-HVAC-024-03	NR1L-ComfortHMI-124	SWE1-HVAC-024-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
135	NR1L-ComfortHMI-021	SWE1-HVAC-024-04	NR1L-ComfortHMI-125	SWE1-HVAC-024-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
136	NR1L-ComfortHMI-022	SWE1-HVAC-024-05	NR1L-ComfortHMI-126	SWE1-HVAC-024-05	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
137	NR1L-ComfortHMI-023	SWE1-HVAC-024-06	NR1L-ComfortHMI-127	SWE1-HVAC-024-06	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
138	NR1L-ComfortHMI-024	SWE1-HVAC-024-07	NR1L-ComfortHMI-128	SWE1-HVAC-024-07	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
139	NR1L-ComfortHMI-025	SWE1-HVAC-024-07	NR1L-ComfortHMI-129	SWE1-HVAC-024-07	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
140	NR1L-ComfortHMI-026	SWE1-HVAC-024-07	NR1L-ComfortHMI-130	SWE1-HVAC-024-07	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
141	NR1L-ComfortHMI-027	SWE1-HVAC-024-07	NR1L-ComfortHMI-131	SWE1-HVAC-024-07	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
142	NR1L-ComfortHMI-028	SWE1-HVAC-024-08	NR1L-ComfortHMI-132	SWE1-HVAC-024-08	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
143	NR1L-ComfortHMI-029	SWE1-HVAC-025-01	NR1L-ComfortHMI-133	SWE1-HVAC-025-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
144	NR1L-ComfortHMI-030	SWE1-HVAC-025-02	NR1L-ComfortHMI-134	SWE1-HVAC-025-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
145	NR1L-ComfortHMI-031	SWE1-HVAC-026	NR1L-ComfortHMI-135	SWE1-HVAC-026	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
146	NR1L-ComfortHMI-041	SWE1-HVAC-027	NR1L-ComfortHMI-136	SWE1-HVAC-027	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
147	NR1L-ComfortHMI-266	SWE1-HVAC-028-01	NR1L-ComfortHMI-137	SWE1-HVAC-028-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
148	NR1L-ComfortHMI-267	SWE1-HVAC-028-02	NR1L-ComfortHMI-138	SWE1-HVAC-028-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
149	NR1L-ComfortHMI-268	SWE1-HVAC-028-03	NR1L-ComfortHMI-139	SWE1-HVAC-028-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
150	NR1L-ComfortHMI-269	SWE1-HVAC-029-01	NR1L-ComfortHMI-140	SWE1-HVAC-029-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
151	NR1L-ComfortHMI-270	SWE1-HVAC-029-02	NR1L-ComfortHMI-141	SWE1-HVAC-029-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
152	NR1L-ComfortHMI-271	SWE1-HVAC-029-03	NR1L-ComfortHMI-142	SWE1-HVAC-029-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
153	NR1L-ComfortHMI-272	SWE1-HVAC-030-01	NR1L-ComfortHMI-143	SWE1-HVAC-030-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
154	NR1L-ComfortHMI-273	SWE1-HVAC-030-02	NR1L-ComfortHMI-144	SWE1-HVAC-030-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
155	NR1L-ComfortHMI-274	SWE1-HVAC-030-03	NR1L-ComfortHMI-145	SWE1-HVAC-030-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
156	NR1L-ComfortHMI-275	SWE1-HVAC-030-04	NR1L-ComfortHMI-146	SWE1-HVAC-030-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
157	NR1L-ComfortHMI-276	SWE1-HVAC-030-05	NR1L-ComfortHMI-147	SWE1-HVAC-030-05	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
158	NR1L-ComfortHMI-277	SWE1-HVAC-031-01	NR1L-ComfortHMI-148	SWE1-HVAC-031-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
159	NR1L-ComfortHMI-400	SWE1-HVAC-031-01	NR1L-ComfortHMI-149	SWE1-HVAC-031-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
160	NR1L-ComfortHMI-278	SWE1-HVAC-031-02	NR1L-ComfortHMI-150	SWE1-HVAC-031-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
161	NR1L-ComfortHMI-279	SWE1-HVAC-031-03	NR1L-ComfortHMI-151	SWE1-HVAC-031-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
162	NR1L-ComfortHMI-280	SWE1-HVAC-032-01	NR1L-ComfortHMI-152	SWE1-HVAC-032-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
